中文片名,外文片名,ID
新次元！蠟筆小新電影超能力大決戰～飛吧！手卷壽司～,Shin Jigen! Crayon Shin-chan the Movie,tt26862791
不可能的任務：致命清算 第一章,Mission: Impossible - Dead Reckoning Part One,tt9603212
尋父冒險記,"Luxembourg, Luxembourg",tt19783714
凱蒂超殺女,Kitty the Killer,tt24787556
雉岳山怪談,Mount Chiak,tt29031126
名偵探麻里子最悲慘的一天,Life of Mariko in Kabuchiko,tt22062330
劇場版城市獵人：天使之淚,City Hunter the Movie: Angel Dust,tt19413836
花漾奶奶金難搞,My Perfect Roommate,tt21190408
科西嘉的那個夏天,Homecoming,tt22463404
斷捨離天堂,Danshari Paradise,tt28444512
超危險保鑣,Freelance,tt15744298
生命之舞,Ariel: Back to Buenos Aires,tt11790268
鬼手鬼手 請開口,Talk to Me,tt10638522
掃毒3：人在天涯,The White Storm 3: Heaven or Hell,tt26929966
珍愛硬起來,No Hard Feelings,tt15671028
4拍4家族,Band Four,tt29602209
樹懶殺三小,Slotherhouse,tt15422224
折翼姊妹,Divine Factory,tt22489308
釀魂,It Remains,tt28818363
萬聖劫,Carousel,tt24017902
明天星期一,Mondays: See You 'This' Week!,tt27510455
新進社員：電影版,The New Employee: The Movie,tt28681454
德古拉的新娘,How to Save the Immortal,tt19811466
奪魂鋸X,Saw X,tt21807222
我的麻吉4個鬼,Hello Ghost!,tt28349905
幽靈公館,Haunted Mansion,tt1695843
我和我的賽車老爸,Wo han wo de sai che lao ba,tt28220721
指尖上綻放的愛,A Mother's Touch,tt11179000
本日公休,Ben ri gong xiu,tt26686277
戰場日記,20 Days in Mariupol,tt24082438
野獸們,The Beasts,tt15006566
鬼夢遊,Sleep,tt8209702
交響狂花,Divertimento,tt23741324
誆世巨作：蜘蛛窩新宇宙,Cobweb,tt21254598
親愛的大衛,Dear David,tt9288740
戰火邊緣的青春,We Will Not Fade Away,tt11389212
塞納河上的船屋,On the Adamant,tt26448811
沒有國家的冠軍,Road to Boston,tt11692284
附身,Dr. Cheon and Lost Talisman,tt29005755
浴血任務4,Expend4bles,tt3291150
蜘蛛人：穿越新宇宙,Spider-Man: Across the Spider-Verse,tt9362722
快一秒的他,"One Second Ahead, One Second Behind",tt27930733
驅魔13,13 exorcismos,tt21199996
小嫉妒,Àma Gloria,tt26255358
數碼寶貝02 THE BEGINNING,Digimon Adventure 02: The Beginning,tt22474136
極惡變身,Devils,tt27801630
幸福的所在,Safe Place,tt21230074
大法師:信徒,The Exorcist: Believer,tt12921446
汪汪隊立大功：超級大電影,PAW Patrol: The Mighty Movie,tt15837338
劇場版 PSYCHO-PASS 心靈判官 PROVIDENCE,Psycho-Pass: Providence,tt26224944
A.I.創世者,The Creator,tt11858890
鬼修女II,The Nun II,tt10160976
暗殺風暴,Geylang,tt17005282
摘星甜點王,Sugar and Stars,tt19815386
做工的人電影版,Zuo gong de ren dian ying ban,tt26936155
鈴芽之旅,Suzume,tt16428256
換宿夜驚魂,The Cuckoo's Curse,tt12748562
達利:慾望之謎,Dalíland,tt8399658
印咒：畢舍遮,It Lives Inside,tt15683734
榮耀之路,Pour la France,tt19891500
千萬別開門,Taget,tt22507484
保護者,A Man of Reason,tt21387514
贖命救援,Ransomed,tt27795356
絕對味覺情人,Honey Sweet,tt28625660
電影哆啦A夢：大雄與天空的理想鄉,Doraemon the Movie: Nobita's Sky Utopia,tt21223380
陰兒房：鬼門陰深處,Insidious: The Red Door,tt13405778
BLUE GIANT 藍色巨星,Blue Giant,tt15737898
絕命控制,Control,tt14036276
鑽石水族世界,Zuan shi shui zu shi jie,tt27936806
冬日男孩,Winter Boy,tt17009856
雪后奇緣,The Snow Queen and the Princess,tt17164334
一個人的朝聖,The Unlikely Pilgrimage of Harold Fry,tt14097206
印第安納瓊斯：命運輪盤,Indiana Jones and the Dial of Destiny,tt1462764
SEE HEAR LOVE 看不見聽不見也愛你,See Hear Love,tt27881314
閃電俠,The Flash,tt0439572
變形金剛：萬獸崛起,Transformers: Rise of the Beasts,tt5090568
九槍,Jiu qiang,tt22463330
電影哆啦A夢：新大雄的大魔境 - 扁扁與5人之探險隊,Eiga Doraemon: Shin Nobita no daimakyô,tt3949650
冰淇淋般的愛戀,Ice Cream Fever,tt27745148
地獄來的乘客,Sympathy for the Devil,tt21991654
AI時代,After Work,tt10400026
喵的詐騙集團,The Amazing Maurice,tt10473036
南方，寂寞鐵道,On the Train,tt22746776
男人最壞女人最愛,Emanuelle's Revenge,tt16008564
峰爆,Cloudy Mountain,tt15413054
善良的牧本先生,I Am Makimoto,tt19845444
鬼偶,Hoon Payon,tt27999306
爆復,Retribution,tt6906292
逃出寧靜海,The Moon,tt27688034
水泥烏托邦：末日浩劫,Concrete Utopia,tt13086266
忍者龜：變種大亂鬥,Teenage Mutant Ninja Turtles: Mutant Mayhem,tt8589698
之前的我們,Past Lives,tt13238346
神鬼海底撈,Smugglers,tt28106766
炎日,Burning Days,tt14859416
毒舌大狀,A Guilty Conscience,tt25377462
對我而言，你是珍貴的,My Lovely Angel,tt14739128
IU CONCERT: THE GOLDEN HOUR,IU CONCERT: THE GOLDEN HOUR,tt28997098
芽籠,Geylang,tt16715436
鷹勇潛艦,Orzel. Ostatni patrol,tt4741504
MAMAMOO：MY CON THE MOVIE,MAMAMOO：MY CON THE MOVIE,tt28230511
喜幹會,Joy Ride,tt15268244
GRIDMAN UNIVERSE,GRIDMAN UNIVERSE,tt16418362
變身少女露比,"Ruby Gillman, Teenage Kraken",tt27155038
鬼出櫃,The Boogeyman,tt3427252
玩命關頭 X,Fast X,tt5433140
65：恐怖行星,65,tt12261776
黑夜遊行,Black Night Parade,tt21434474
GHOSTBOOK 妖怪圖鑑,Ghost Book Obakezukan,tt21343502
神選之地,Godland,tt19623228
尋愛小說家：海史密斯,Loving Highsmith,tt15239466
千輝同學未免甜得過火,"And Yet, You Are So Sweet",tt22648994
舞力對決 : 地表撐霸,Breaking Point,tt12053110
豪門心計,The Watchful Eye,tt15422758
小美人魚,The Little Mermaid,tt5971474
上流謀殺案,A Haunting in Venice,tt22687790
愛是自私,Egoist,tt22006138
飛舞人生,Fly,tt11155784
海的盡頭是草原,In Search of Lost Time,tt18673234
渴水,The Dry Spell,tt26930646
喵喵博物館,Cats in the Museum,tt24069962
小行星城,Asteroid City,tt14230388
化劫,Antikalpa,tt20247796
星際異攻隊3,Guardians of the Galaxy Vol. 3,tt6791350
吸血鬼特助：雷菲爾,Renfield,tt11358390
失衡凶間之罪與殺,Tales from the Occult: Body and Soul,tt27903398
